UP_KEY;UP_DESC;UP_ALLOW_NEG;UP_IS_INT;UP_LIM_MIN;UP_LIM_MAX;UP_CAPTION;UP_LONGDESC;UP_TYPE;UP_PICTURE;UP_IS_WMF
UKL4M;Uklada 4 - materijal;;0;;;Puna/Staklo/Zrcalo;;0;;
UKL5M;Uklada 5 - materijal;;0;;;Puna/Staklo/Zrcalo;;0;;
UKLRAS;Uklade - identičan raspored;;0;;;Ne/Da;;0;;
RUND0;Sakrij rund;;0;;;Da/Ne;;0;System.Byte[];1
PLONL;Nastavak ploče na lijevoj strani;;0;;;Ne/Bočno/Sprijeda;;0;;
PLOND;Nastavak ploče na desnoj strani;;0;;;Ne/Bočno/Sprijeda;;0;;
ODMVP;Odmak veznika sprijeda;;0;;;;;0;;
ODMVZ;Odmak veznika straga;;0;;;;;0;;
OPSM;Minimalni odmak ladice odozdo;;0;;;;;0;;
ODPO;Odmak odozdo;;0;;;;;0;;
RL;Radius luka;;0;;;;;0;;
RSTR;Radius strana;;0;;;Vanjski/Unutarnji;;0;;
BSD;Poluu./utor. str.D;0;0;;;Ne/Da;;0;System.Byte[];1
BSL;Poluu./utor. str.L;0;0;;;Ne/Da;;0;System.Byte[];1
BST;Poluu./utor strop;0;0;;;Ne/Da;;0;System.Byte[];1
BU;Poluutor/Utor;0;0;;;Poluutor/Utor;;0;System.Byte[];0
D2;Dubina 2;0;0;;;;;0;;0
DDOPG;Debljina doprozornika gore;0;0;;;;;0;;0
DDOPV;Debljina doprozornika vertikalno;0;0;;;;;0;;0
DEBD;Debljina doprozornika;0;0;;;;;0;;0
DEBK;Debljina krila;0;0;;;;;0;;0
DES;Desno;0;0;;;Ne/Da;;0;;0
DKDP;Duljina desnog kraka ploče;1;0;;;;;0;;0
DKLP;Duljina lijevog kraka ploče;1;0;;;;;0;;0
DKRI;Debljina krila;0;0;;;;;0;;0
DN;Da/Ne;0;0;;;Ne/Da;;0;;0
DP;Duljina produžetka;1;0;;;;;0;;0
DPD;Duljina pulta desno;0;0;;;;;0;;0
ODDD;Odmak desnog dijela;1;0;;;;;0;System.Byte[];1
ODDU;Odmak po dubini;0;0;;;;;0;;0
ODGL;Odmak po dubini;0;0;;;;;0;;0
ODHP;Odmak hor. pregrade;1;0;;;;;0;;
ODLD;Odmak lijevog dijela;1;0;;;;;0;;0
ODLS;Odmak leđa straga;1;0;;;;Odmak leđa od zadnje točke korpusa;0;;
ODMDG;Suženje donožja odozgo;1;0;;;;Smanjenje odozgo širine donožja kreveta u odnosu na visinu pozicije;0;System.Byte[];1
ODMDN;Produženje donožja lijevo;1;0;;;;Produženje donožja kreveta na lijevo;0;System.Byte[];1
ODMDS;Produženje donožja desno;1;0;;;;Produženje donožja kreveta na desno;0;System.Byte[];1
ODMKZ;Odmak od kuta zidova;1;0;;;;Odmak desnih-punih leđa ormarića od ugla zidova;0;;
ODMLG;Suženje uzglavlja odozgo;1;0;;;;Smanjenje odozgo širine uzglavlja kreveta u odnosu na visinu pozicije;0;System.Byte[];1
ODMLN;Produženje uzglavlja lijevo;1;0;;;;Produženje uzglavlja kreveta na lijevo;0;System.Byte[];1
ODMLS;Produženje uzglavlja desno;1;0;;;;Produženje uzglavlja kreveta na desno;0;System.Byte[];1
ODMND;Suženje stranice lijeve odozdo;1;0;;;;Smanjenje odozdo širine lijeve stranice kreveta u odnosu na donju točku pozicije;0;System.Byte[];1
ODMNG;Suženje stranice lijeve odozgo;1;0;;;;Smanjenje odozgo širine lijeve stranice kreveta u odnosu na visinu pozicije;0;System.Byte[];1
SUZG;Suženje odozgo;;;;;;;0;System.Byte[];0
ODMSD;Suženje stranice desne odozdo;1;0;;;;Smanjenje odozdo širine desne stranice kreveta u odnosu na donju točku pozicije;0;System.Byte[];1
ODMSG;Suženje stranice desne odozgo;1;0;;;;Smanjenje odozgo širine desne stranice kreveta u odnosu na visinu pozicije;0;System.Byte[];1
ODMSO;Odmak stranice odozdo;0;0;;;;;0;;
ODMST;Strana odmaka;0;0;;;Lijevo/Desno/Gore/Dolje;;0;System.Byte[];1
ODMVB;Odmak veza po duljini;1;0;;;;Odmak poprečnih vezova kreveta od uzglavlja i donožja;0;System.Byte[];1
ODMVD;Odmak veza od stranice odozdo;1;0;;;;Smanjenje odozdo širine vezova u odnosu na donju točku lijeve stranice kreveta;0;System.Byte[];1
ODMVG;Odmak veza od stranice odozgo;1;0;;;;Smanjenje odozgo širine vezova u odnosu na gornju točku lijeve stranice kreveta;0;System.Byte[];1
ODMVN;Odmak veza od stranice lijeve;1;0;;;;Odmak lijevog uzdužnog veza od lijeve stranice kreveta;0;System.Byte[];1
ODMVS;Odmak veza od stranice desne;1;0;;;;Odmak desnog uzdužnog veza od desne stranice kreveta;0;System.Byte[];1
ZRK;Zrak od korpusa;1;0;;;;;0;System.Byte[];1
ODPD;Odmak desno;1;0;;;;;0;System.Byte[];1
IZR_15;Izračun 15;;;;;;Pomoćno polje za izračun;0;;
ODPL;Odmak lijevo;1;0;;;;;0;System.Byte[];1
ODPLM;Odmak za LeMans (450/500/600);1;0;;;;Odmak vertikalne pregrade za izvlačne kutne police Le Mans Kesseboehmer (širina vrata 450/500/600);0;;
IZR_16;Izračun 16;;;;;;Pomoćno polje za izračun;0;;
IZR_17;Izračun 17;;;;;;Pomoćno polje za izračun;0;;
IZR_18;Izračun 18;;;;;;Pomoćno polje za izračun;0;;
IZR_19;Izračun 19;;;;;;Pomoćno polje za izračun;0;;
KUT_I0;Kut za izračun 0;;;;;;Pomoćno polje za izračun kuta;0;;
KUT_I5;Kut za izračun 5;;;;;;Pomoćno polje za izračun kuta;0;;
KUT_I6;Kut za izračun 6;;;;;;Pomoćno polje za izračun kuta;0;;
KUT_I7;Kut za izračun 7;;;;;;Pomoćno polje za izračun kuta;0;;
KUT_I8;Kut za izračun 8;;;;;;Pomoćno polje za izračun kuta;0;;
KUT_I9;Kut za izračun 9;;;;;;Pomoćno polje za izračun kuta;0;;
JEDRAZ;Jednak razmak;;;;;Ne/Da;;0;;
N5;Broj elemenata 1-5;;;;;1/2/3/4/5;;0;;
